gene,chromosome,strand,tss
ENSG00000301639,chr1,+,1407357
MRPL20-DT,chr1,+,1409095
ANKRD65,chr1,-,1421769
ANKRD65-AS1,chr1,+,1420244
TMEM88B,chr1,+,1425870
LINC01770,chr1,-,1435625
VWA1,chr1,+,1434860
ATAD3C,chr1,+,1449688
ATAD3B,chr1,+,1471764
ENSG00000290916,chr1,+,1503223
ATAD3A,chr1,+,1512161
TMEM240,chr1,-,1540624
ENSG00000299413,chr1,+,1539563
SSU72,chr1,-,1574863
SSU72-AS1,chr1,+,1574101
FNDC10,chr1,-,1600135
ENSG00000286989,chr1,+,1600181
ENSG00000272106,chr1,-,1615795
MIB2,chr1,+,1615453
MMP23B,chr1,+,1632162
CDK11B,chr1,-,1659012
ENSG00000272004,chr1,+,1659026
SLC35E2B,chr1,-,1692795
ENSG00000293187,chr1,+,1671989
ENSG00000310190,chr1,+,1692527
ENSG00000310238,chr1,-,1700731
CDK11A,chr1,-,1724357
ENSG00000268575,chr1,-,1737688
ENSG00000293188,chr1,+,1724193
ENSG00000290854,chr1,-,1745992
NADK,chr1,-,1780457
ENSG00000302550,chr1,+,1783128
GNB1,chr1,-,1892292
GNB1-DT,chr1,+,1891174
ENSG00000303984,chr1,-,1891754
ENSG00000294910,chr1,-,1909117
ENSG00000306476,chr1,+,1909316
CALML6,chr1,+,1915107
TMEM52,chr1,-,1919279
CFAP74,chr1,-,2003837
ENSG00000233542,chr1,-,2019198
GABRD,chr1,+,2019328
ENSG00000304958,chr1,-,2047450
PRKCZ-DT,chr1,-,2050176
PRKCZ,chr1,+,2050410
ENSG00000308181,chr1,-,2104917
ENSG00000271806,chr1,-,2145279
PRKCZ-AS1,chr1,-,2184389
FAAP20,chr1,-,2212720
ENSG00000304038,chr1,+,2207045
ENSG00000234396,chr1,+,2212522
ENSG00000304143,chr1,-,2214206
SKI,chr1,+,2227387
ENSG00000295493,chr1,-,2301069
ENSG00000287356,chr1,+,2314916
MORN1,chr1,-,2391707
ENSG00000272161,chr1,-,2326693
ENSG00000292993,chr1,-,2352820
ENSG00000272420,chr1,-,2363628
ENSG00000295371,chr1,+,2385374
RER1,chr1,+,2391774
PEX10,chr1,-,2413797
PLCH2,chr1,+,2425979
ENSG00000224387,chr1,-,2493258
ENSG00000229393,chr1,-,2494479
PANK4,chr1,-,2526597
HES5,chr1,-,2530263
ENSG00000272449,chr1,+,2530063
TNFRSF14-AS1,chr1,-,2557059
ENSG00000307979,chr1,+,2550556
TNFRSF14,chr1,+,2555638
ENSG00000225931,chr1,+,2566409
ENSG00000307958,chr1,-,2580567
ENSG00000228037,chr1,+,2577042
ENSG00000289610,chr1,+,2585589
PRXL2B,chr1,+,2586490
MMEL1,chr1,-,2633016
MMEL1-AS1,chr1,+,2628687
TTC34,chr1,-,2801693
ENSG00000285945,chr1,+,2768090
ENSG00000283259,chr1,+,2773602
ENSG00000233234,chr1,-,2812692
ENSG00000287396,chr1,+,2814019
ENSG00000231630,chr1,-,2814998
ENSG00000302855,chr1,+,2822158
ENSG00000295089,chr1,-,2855996
ENSG00000300015,chr1,-,2875675
ENSG00000284745,chr1,-,2968707
ACTRT2,chr1,+,3021466
PRDM16-DT,chr1,-,3070251
PRDM16,chr1,+,3069167
MIR4251,chr1,+,3127974
ENSG00000226286,chr1,-,3133709
ENSG00000306427,chr1,-,3167152
ENSG00000279839,chr1,+,3205987
ENSG00000306439,chr1,-,3213146
ENSG00000272235,chr1,-,3310096
ENSG00000287828,chr1,-,3323149
ENSG00000286518,chr1,-,3373928
ENSG00000295754,chr1,-,3441727
ENSG00000297626,chr1,-,3454339
ARHGEF16,chr1,+,3454664
ENSG00000272088,chr1,+,3487245
MEGF6,chr1,-,3611508
MIR551A,chr1,-,3560790
ENSG00000309127,chr1,+,3619642
ENSG00000238260,chr1,-,3624787
TPRG1L,chr1,+,3625014
WRAP73,chr1,-,3652761
TP73,chr1,+,3652515
TP73-AS3,chr1,-,3668772
TP73-AS2,chr1,-,3714298
GFOD3P,chr1,-,3747373
ENSG00000276189,chr1,+,3736942
CCDC27,chr1,+,3746459
ENSG00000296834,chr1,-,3752342
SMIM1,chr1,+,3772748
LRRC47,chr1,-,3796498
RN7SL574P,chr1,+,3782814
ENSG00000272153,chr1,+,3785007
CEP104,chr1,-,3857396
DFFB,chr1,+,3857266
C1orf174,chr1,-,3900293
LINC01134,chr1,+,3900186
LINC01346,chr1,+,3940485
LINC01345,chr1,-,3949024
LINC02780,chr1,+,3976132
ENSG00000284703,chr1,-,4019843
ENSG00000296871,chr1,-,4046929
ENSG00000308587,chr1,-,4108993
ENSG00000301255,chr1,-,4228239
ENSG00000299169,chr1,-,4269793
ENSG00000302287,chr1,-,4319668
LINC01777,chr1,+,4412026
ENSG00000306535,chr1,-,4463221
ENSG00000284694,chr1,-,4484375
ENSG00000299517,chr1,-,4497501
ENSG00000227169,chr1,-,4552145
ENSG00000295490,chr1,-,4556410
LINC01646,chr1,+,4571480
ENSG00000300565,chr1,+,4603689
ENSG00000303830,chr1,-,4634700
AJAP1,chr1,+,4654608
ENSG00000287586,chr1,-,4734992
ENSG00000284739,chr1,-,4973298
LINC02781,chr1,+,4973380
ENSG00000309102,chr1,-,4998772
ENSG00000309111,chr1,+,4997978
LINC02782,chr1,-,5090899
ENSG00000296716,chr1,-,5161643
ENSG00000302269,chr1,-,5225258
ENSG00000306645,chr1,-,5295192
ENSG00000284616,chr1,-,5307394
ENSG00000302445,chr1,-,5430776
ENSG00000302452,chr1,+,5430321
ENSG00000295735,chr1,-,5455118
ENSG00000284692,chr1,-,5493057
ENSG00000284666,chr1,-,5482028
ENSG00000260972,chr1,+,5492977
ENSG00000299325,chr1,-,5503846
ENSG00000289893,chr1,-,5771608
ENSG00000264341,chr1,+,5564070
ENSG00000295108,chr1,+,5597388
ENSG00000295122,chr1,-,5709714
ENSG00000298180,chr1,+,5834385
MIR4689,chr1,-,5862741
NPHP4,chr1,-,5992473
ENSG00000299539,chr1,+,5897460
KCNAB2,chr1,+,5990926
CHD5,chr1,-,6180321
ENSG00000285629,chr1,-,6197757
RPL22,chr1,-,6209389
RNF207-AS1,chr1,-,6206041
RNF207,chr1,+,6205474
ICMT,chr1,-,6235972
ICMT-DT,chr1,+,6234691
HES3,chr1,+,6244178
GPR153,chr1,-,6261098
ACOT7,chr1,-,6393767
ENSG00000271746,chr1,+,6393554
HES2,chr1,-,6424670
ESPN,chr1,+,6424775
MIR4252,chr1,-,6429896
ENSG00000231868,chr1,-,6447006
TNFRSF25,chr1,-,6466175
PLEKHG5,chr1,-,6520074
ENSG00000297749,chr1,+,6485036
ENSG00000299237,chr1,+,6490639
ENSG00000299253,chr1,+,6490904
NOL9,chr1,-,6554513
RNU6-731P,chr1,+,6540853
TAS1R1,chr1,+,6555306
ZBTB48,chr1,+,6579993
KLHL21,chr1,-,6614607
ENSG00000295286,chr1,+,6598942
ENSG00000304810,chr1,-,6613159
PHF13,chr1,+,6613730
THAP3,chr1,+,6624867
DNAJC11,chr1,-,6701924
LINC01672,chr1,+,6724625
ENSG00000284744,chr1,+,6767953
CAMTA1-DT,chr1,-,6784843
CAMTA1,chr1,+,6785453
CAMTA1-AS3,chr1,-,7014279
RNU1-8P,chr1,+,7219359
ENSG00000310450,chr1,-,7240057
CAMTA1-IT1,chr1,+,7312885
CAMTA1-AS2,chr1,-,7389915
ENSG00000294314,chr1,+,7390030
CAMTA1-AS1,chr1,-,7441612
ENSG00000298973,chr1,-,7509131
ENSG00000306883,chr1,-,7558106
ENSG00000302704,chr1,+,7583642
ENSG00000270171,chr1,-,7694844
ENSG00000270035,chr1,-,7698872
ENSG00000269978,chr1,-,7702528
ENSG00000300603,chr1,-,7771187
VAMP3,chr1,+,7771295
ENSG00000269925,chr1,+,7776382
PER3,chr1,+,7784290
ENSG00000236266,chr1,-,7827342
UTS2,chr1,-,7853512
ENSG00000302605,chr1,-,7913257
TNFRSF9,chr1,-,7943165
PARK7,chr1,+,7954290
ENSG00000299004,chr1,-,7961526
Y_RNA,chr1,-,248595033
ENSG00000284747,chr1,+,7991133
ENSG00000284716,chr1,-,7999934
ERRFI1,chr1,-,8026309
ERRFI1-DT,chr1,+,8026412
ENSG00000301325,chr1,-,8113404
LINC01714,chr1,+,8158694
ENSG00000301344,chr1,-,8203165
RNU1-7P,chr1,-,8206597
ENSG00000233645,chr1,-,8220529
ENSG00000298156,chr1,+,8240000
ENSG00000301025,chr1,-,8260244
ENSG00000301006,chr1,+,8257356
RNU6-991P,chr1,-,8292263
SLC45A1,chr1,+,8318113
Y_RNA,chr1,+,8328066
RERE,chr1,-,8848921
RERE-AS1,chr1,+,8424644
ENSG00000221083,chr1,-,8511919
ENSG00000303676,chr1,+,8789576
ENSG00000228423,chr1,-,8807051
ENO1,chr1,-,8879190
MIR6728,chr1,-,8866590
ENO1-AS1,chr1,+,8878463
RNU6-304P,chr1,-,8883533
ENSG00000310107,chr1,-,8926885
ENSG00000310124,chr1,+,8923154
CA6,chr1,+,8945866
ENSG00000290109,chr1,-,8971246
RN7SL451P,chr1,-,8979874
SLC2A7,chr1,-,9026423
SLC2A5,chr1,-,9088478
ENSG00000252404,chr1,+,9082695
GPR157,chr1,-,9129102
MIR34AHG,chr1,-,9202826
MIR34A,chr1,-,9151777
ENSG00000289914,chr1,-,9162945
ENSG00000302015,chr1,+,9163077
LNCTAM34A,chr1,+,9181587
ENSG00000301983,chr1,+,9197189
ENSG00000301968,chr1,+,9200783
H6PD,chr1,+,9234773
ENSG00000302217,chr1,-,9242715
SPSB1,chr1,+,9292893
ENSG00000294252,chr1,-,9334689
ENSG00000296073,chr1,+,9370607
ENSG00000296056,chr1,-,9375157
ENSG00000307568,chr1,-,9417880
ENSG00000284652,chr1,-,9422862
LINC02606,chr1,-,9455910
ENSG00000301013,chr1,+,9438727
ENSG00000301030,chr1,+,9448628
ENSG00000306844,chr1,-,9467370
ENSG00000296249,chr1,-,9492604
ENSG00000235263,chr1,-,9503536
SLC25A33,chr1,+,9539464
TMEM201,chr1,+,9588910
ENSG00000307011,chr1,-,9629425
PIK3CD,chr1,+,9629888
PIK3CD-AS1,chr1,-,9654586
PIK3CD-AS2,chr1,-,9687604
ENSG00000301080,chr1,+,9672404
CLSTN1,chr1,-,9823984
ENSG00000280113,chr1,-,9828271
CTNNBIP1,chr1,-,9910336
ENSG00000223989,chr1,+,9848317
ENSG00000285701,chr1,+,9900613
ENSG00000228150,chr1,+,9909407
LZIC,chr1,-,9943407
NMNAT1,chr1,+,9943427
RN7SKP269,chr1,+,9947317
MIR5697,chr1,+,9967380
ENSG00000241326,chr1,+,9983140
RBP7,chr1,+,9997205
UBE4B,chr1,+,10032831
RNU6-828P,chr1,+,10163267
KIF1B,chr1,+,10210569
ENSG00000264881,chr1,+,10227717
RNU6-37P,chr1,+,10298965
RN7SL731P,chr1,+,10306464
ENSG00000284735,chr1,-,10387150
ENSG00000284642,chr1,+,10395415
PGD,chr1,+,10398591
ENSG00000271989,chr1,-,10430677
CENPS-CORT,chr1,+,10430101
CENPS,chr1,+,10430432
CORT,chr1,+,10450030
DFFA,chr1,-,10472529
ENSG00000203469,chr1,+,10458554
PEX14,chr1,+,10472287
ENSG00000307253,chr1,-,10605367
ENSG00000287727,chr1,-,10616452
RN7SL614P,chr1,+,10616835
CASZ1,chr1,-,10796650
ENSG00000272078,chr1,+,10639240
ENSG00000298629,chr1,+,10728727
ENSG00000308013,chr1,-,10866806
ENSG00000307983,chr1,+,10866417
ENSG00000307999,chr1,-,10873299
ENSG00000308257,chr1,+,10901096
C1orf127,chr1,-,10982076
TARDBP,chr1,+,11012343
MASP2,chr1,-,11047239
SRM,chr1,-,11060020
EXOSC10-AS1,chr1,+,11060227
EXOSC10,chr1,-,11099869
MTOR,chr1,-,11262556
MTOR-AS1,chr1,+,11143897
RNU6-537P,chr1,+,11152349
ANGPTL7,chr1,+,11189354
RNU6-291P,chr1,+,11226253
ENSG00000309051,chr1,+,11262778
UBIAD1,chr1,+,11273197
ENSG00000284646,chr1,-,11339929
ENSG00000302153,chr1,+,11350693
ENSG00000302176,chr1,+,11355387
ENSG00000299102,chr1,-,11454264
DISP3,chr1,+,11479154
ENSG00000285833,chr1,-,11502016
ENSG00000303300,chr1,-,11595450
LINC01647,chr1,+,11609467
ENSG00000284708,chr1,+,11623557
FBXO2,chr1,-,11655785
FBXO44,chr1,+,11654374
MAD2L2,chr1,-,11691811
FBXO6,chr1,+,11664199
DRAXIN,chr1,+,11691709
ENSG00000301523,chr1,-,11731906
ENSG00000305789,chr1,-,11736690
AGTRAP,chr1,+,11736083
C1orf167,chr1,+,11761786
C1orf167-AS1,chr1,-,11779619
MTHFR,chr1,-,11806455
CLCN6,chr1,+,11806095
ENSG00000276470,chr1,+,11843811
ENSG00000278852,chr1,+,11845548
NPPA,chr1,-,11848345
ENSG00000275915,chr1,+,11847441
NPPB,chr1,-,11858945
ENSG00000285646,chr1,+,11907939
RNU5E-1,chr1,+,11908151
RNU5E-4P,chr1,-,11909927
KIAA2013,chr1,-,11926428
PLOD1,chr1,+,11934204
ENSG00000287384,chr1,-,11980127
MFN2,chr1,+,11980180
MIIP,chr1,+,12019465
MIR6729,chr1,+,12029157
RN7SL649P,chr1,-,12037014
TNFRSF8,chr1,+,12063302
RNU6-777P,chr1,-,12077984
ENSG00000285604,chr1,-,12092264
ENSG00000294285,chr1,-,12153318
ENSG00000301863,chr1,-,12167519
MIR7846,chr1,+,12166942
TNFRSF1B,chr1,+,12166990
ENSG00000296888,chr1,+,12173928
MIR4632,chr1,+,12191712
ENSG00000297053,chr1,+,12215711
SNORA70,chr1,-,202527427
VPS13D,chr1,+,12230029
ENSG00000295309,chr1,-,12368922
SNORA59A,chr1,+,12507245
LINC02766,chr1,+,12525548
ENSG00000309694,chr1,-,12554086
DHRS3,chr1,-,12620133
RNU6ATAC18P,chr1,-,12570072
MIR6730,chr1,-,12579023
ENSG00000305650,chr1,+,12607486
ENSG00000288927,chr1,+,12618018
AADACL4,chr1,+,12644084
AADACL3,chr1,+,12716109
CFAP107,chr1,+,12746199
PRAMEF12,chr1,+,12773737
PRAMEF1,chr1,+,12791396
LINC01784,chr1,-,12823239
PRAMEF11,chr1,-,12831410
HNRNPCL1,chr1,-,12848720
PRAMEF2,chr1,+,12857085
PRAMEF4,chr1,-,12886201
ENSG00000296105,chr1,+,12879654
PRAMEF10,chr1,-,12898270
PRAMEF7,chr1,+,12916609
RNU6-1072P,chr1,+,12922553
PRAMEF6,chr1,-,12947580
PRAMEF27,chr1,-,13056575
HNRNPCL3,chr1,+,13060768
PRAMEF25,chr1,+,13068676
HNRNPCL2,chr1,-,13116854
PRAMEF36P,chr1,+,13127072
ENSG00000297821,chr1,-,13146044
ENSG00000233336,chr1,-,13147460
PRAMEF26,chr1,-,13158116
HNRNPCL4,chr1,-,13165631
PRAMEF9,chr1,+,13171847
PRAMEF13,chr1,-,13201409
PRAMEF18,chr1,-,13226154
ENSG00000295394,chr1,+,13241573
PRAMEF5,chr1,+,13254197
RNU6-771P,chr1,-,13279231
PRAMEF8,chr1,-,13285137
PRAMEF33,chr1,+,13303538
PRAMEF15,chr1,+,13315580
ENSG00000228229,chr1,+,13324038
PRAMEF14,chr1,-,13347134
PRAMEF19,chr1,-,13371947
PRAMEF17,chr1,+,13389631
PRAMEF20,chr1,+,13410449
ENSG00000307992,chr1,-,13433216
ENSG00000295011,chr1,+,13440089
LRRC38,chr1,-,13514003
ENSG00000301663,chr1,+,13487559
ENSG00000259961,chr1,+,13513219
PDPN,chr1,+,13583464
ENSG00000237445,chr1,-,13659910
ENSG00000295237,chr1,+,13657974
ENSG00000253085,chr1,-,13696199
PRDM2,chr1,+,13700187
ENSG00000289380,chr1,+,13757777
ENSG00000304226,chr1,+,13828670
KAZN,chr1,+,13892791
RNU6-1265P,chr1,-,14124335
ENSG00000231606,chr1,-,14304445
KAZN-AS1,chr1,-,14419973
ENSG00000302124,chr1,-,14552449
ENSG00000287756,chr1,-,14777727
ENSG00000294214,chr1,-,14817051
ENSG00000294586,chr1,+,14824733
ENSG00000293964,chr1,-,14911503
TMEM51-AS1,chr1,-,15153618
ENSG00000310342,chr1,+,15124678
TMEM51,chr1,+,15152531
TMEM51-AS2,chr1,-,15171666
FHAD1,chr1,+,15236520
EFHD2-AS1,chr1,-,15411229
FHAD1-AS1,chr1,-,15343890
ENSG00000236045,chr1,-,15335464
EFHD2,chr1,+,15409887
CTRC,chr1,+,15438441
CELA2A,chr1,+,15456727
CELA2B,chr1,+,15465908
CASP9,chr1,-,15526534
DNAJC16,chr1,+,15526812
SCARNA21B,chr1,+,15542164
ENSG00000272510,chr1,-,15565956
AGMAT,chr1,-,15585051
ENSG00000237301,chr1,-,15603632
RNU7-179P,chr1,-,15608145
ENSG00000294489,chr1,-,15618079
DDI2,chr1,+,15617457
RSC1A1,chr1,+,15659712
ENSG00000271742,chr1,-,15683128
PLEKHM2,chr1,+,15684319
ENSG00000237938,chr1,-,15736896
SLC25A34,chr1,+,15736257
SLC25A34-AS1,chr1,-,15749896
TMEM82,chr1,+,15742498
ENSG00000297277,chr1,-,15758739
FBLIM1,chr1,+,15756606
SPEN-AS1,chr1,-,15848147
UQCRHL,chr1,-,15809348
SPEN,chr1,+,15836094
ZBTB17,chr1,-,15976132
SRARP,chr1,+,16004235
ENSG00000233078,chr1,-,16006671
HSPB7,chr1,-,16019594
CLCNKA,chr1,+,16018874
ENSG00000307216,chr1,-,16039902
CLCNKB,chr1,+,16040251
FAM131C,chr1,-,16073651
EPHA2,chr1,-,16156069
EPHA2-AS1,chr1,+,16155071
ENSG00000297531,chr1,-,16189192
ARHGEF19,chr1,-,16212652
ENSG00000291077,chr1,-,16218472
ENSG00000288398,chr1,-,16231335
CPLANE2,chr1,-,16237183
ENSG00000293791,chr1,-,16243283
FBXO42,chr1,-,16352480
SZRD1,chr1,+,16352574
SPATA21,chr1,-,16437424
NECAP2,chr1,+,16440720
CROCCP3,chr1,-,16499257
LINC01772,chr1,+,16460947
ENSG00000306228,chr1,+,16499375
RNU1-1,chr1,-,16514285
ENSG00000224174,chr1,+,16514644
LINC01783,chr1,-,16535707
RNU1-6P,chr1,-,16534224
ENSG00000298308,chr1,+,16535778
NBPF1,chr1,-,16613562
ENSG00000271732,chr1,+,16590914
ENSG00000291072,chr1,-,16680618
ENSG00000293920,chr1,+,16644758
ENSG00000293901,chr1,+,16645621
ENSG00000282143,chr1,+,16656780
RNU1-3,chr1,-,16666948
ENSG00000290849,chr1,-,16697291
ENSG00000296694,chr1,+,16685787
ENSG00000279151,chr1,+,16701475
ENSG00000293526,chr1,-,16710619
ENSG00000282740,chr1,-,16750713
CROCC,chr1,+,16740272
ENSG00000290850,chr1,+,16740279
RNU1-4,chr1,+,16740515
ENSG00000290851,chr1,-,16770237
ENSG00000223643,chr1,-,16853129
MIR3675,chr1,-,16859021
ENSG00000302843,chr1,+,16859659
LINC03126,chr1,+,16870944
RNU1-5P,chr1,+,16873707
ENSG00000238142,chr1,-,16896642
RNU1-2,chr1,+,16895979
ENSG00000272426,chr1,-,16904841
ENSG00000290122,chr1,+,16904952
MFAP2,chr1,-,16980632
ENSG00000286898,chr1,+,16976281
ENSG00000226526,chr1,+,16978925
ATP13A2,chr1,-,17011928
ENSG00000288636,chr1,-,17011757
SDHB,chr1,-,17054151
PADI2,chr1,-,17119451
LINC02783,chr1,+,17189781
ENSG00000282843,chr1,-,17201733
PADI1,chr1,+,17205127
PADI3,chr1,+,17249097
MIR3972,chr1,+,17277888
PADI4,chr1,+,17308194
PADI6,chr1,+,17372195
RCC2-AS1,chr1,+,17406759
RCC2,chr1,-,17439677
ENSG00000308620,chr1,+,17419839
ENSG00000290096,chr1,-,17439328
ENSG00000307703,chr1,-,17441574
ENSG00000306620,chr1,+,17520304
ARHGEF10L,chr1,+,17539697
ENSG00000302710,chr1,-,17718277
LINC02810,chr1,+,17717624
ACTL8,chr1,+,17755332
ENSG00000296176,chr1,+,17873342
ENSG00000296161,chr1,-,17887906
ENSG00000284653,chr1,+,18015711
ENSG00000302372,chr1,-,18080202
LINC01654,chr1,+,18065656
IGSF21,chr1,+,18107797
ENSG00000280222,chr1,+,18109388
ENSG00000293810,chr1,-,18111100
IGSF21-AS1,chr1,-,18179346
ENSG00000293766,chr1,+,18176825
ENSG00000225387,chr1,+,18385828
ENSG00000294535,chr1,+,18410617
KLHDC7A,chr1,+,18480929
ENSG00000300147,chr1,-,18630858
PAX7,chr1,+,18630845
ENSG00000308985,chr1,+,18703628
TAS1R2,chr1,-,18859660
ALDH4A1,chr1,-,18902724
MIR4695,chr1,-,18883275
MIR1290,chr1,-,18897148
ENSG00000310349,chr1,+,18902089
IFFO2,chr1,-,18956676
ENSG00000295712,chr1,+,18909634
ENSG00000308389,chr1,+,19029660
ENSG00000307102,chr1,-,19055178
ENSG00000272084,chr1,-,19075511
UBR4,chr1,-,19210266
EMC1-AS1,chr1,+,19210329
EMC1,chr1,-,19251552
ENSG00000309633,chr1,-,19255350
MRTO4,chr1,+,19251804
AKR7L,chr1,-,19274194
AKR7A3,chr1,-,19288770
ENSG00000308073,chr1,+,19297758
AKR7A2,chr1,-,19312144
RNU6-1099P,chr1,-,19305182
SLC66A1,chr1,+,19312325
CAPZB,chr1,-,19485539
ENSG00000306364,chr1,+,19408683
RN7SL277P,chr1,+,19424383
ENSG00000306329,chr1,+,19441260
MICOS10,chr1,+,19484402
ENSG00000306287,chr1,-,19564247
RNU4-28P,chr1,+,19510592
MICOS10-DT,chr1,-,19596873
NBL1,chr1,+,19596978
MICOS10-NBL1,chr1,+,19597066
ENSG00000306350,chr1,-,19613288
HTR6,chr1,+,19664874
TMCO4,chr1,-,19799945
RNF186,chr1,-,19815283
RNF186-AS1,chr1,+,19814353
OTUD3,chr1,+,19882394
ENSG00000308515,chr1,-,19889172
PLA2G2E,chr1,-,19923617
RN7SL304P,chr1,+,19970968
PLA2G2A,chr1,-,19980416
ENSG00000297402,chr1,-,19984012
PLA2G5,chr1,+,20028178
PLA2G2D,chr1,-,20119566
ENSG00000307383,chr1,+,20124764
PLA2G2F,chr1,+,20139322
ENSG00000227066,chr1,+,20154116
PLA2G2C,chr1,-,20186518
UBXN10,chr1,+,20186095
LINC01757,chr1,+,20242991
ENSG00000284710,chr1,+,20272017
VWA5B1,chr1,+,20290874
ENSG00000226664,chr1,-,20323187
ENSG00000304627,chr1,-,20303001
LINC01141,chr1,-,20439489
ENSG00000226487,chr1,-,20413253
ENSG00000284641,chr1,+,20476221
ENSG00000284743,chr1,-,20480478
ENSG00000296909,chr1,+,20481278
CAMK2N1,chr1,-,20486210
ENSG00000289402,chr1,-,20487405
MUL1,chr1,-,20508151
FAM43B,chr1,+,20552572
CDA,chr1,+,20589085
PINK1,chr1,+,20633457
MIR6084,chr1,+,20633678
PINK1-AS,chr1,-,20652193
DDOST,chr1,-,20661544
ENSG00000296887,chr1,+,20661708
KIF17,chr1,-,20718017
SH2D5,chr1,-,20732837
ENSG00000298940,chr1,+,20730000
ENSG00000233069,chr1,+,20732248
HP1BP3,chr1,-,20787323
EIF4G3,chr1,-,21177285
RNU7-200P,chr1,+,20841240
MIR1256,chr1,-,20988432
ENSG00000287192,chr1,+,21177053
ECE1,chr1,-,21345572
ENSG00000236936,chr1,+,21262941
ECE1-AS1,chr1,+,21293289
ENSG00000296859,chr1,+,21346308
ENSG00000236009,chr1,+,21415897
ENSG00000295832,chr1,+,21436779
NBPF3,chr1,+,21440127
ALPL,chr1,+,21509396
ENSG00000298372,chr1,-,21551698
ENSG00000289715,chr1,+,21547403
ENSG00000305564,chr1,-,21584069
LINC02596,chr1,+,21586471
RAP1GAP,chr1,-,21669357
USP48,chr1,-,21783606
LDLRAD2,chr1,+,21812264
HSPG2,chr1,-,21937310
ENSG00000305448,chr1,+,21907006
ENSG00000293453,chr1,-,21957177
CELA3B,chr1,+,21977021
ENSG00000285959,chr1,+,21983605
RN7SL386P,chr1,+,21987480
RNU6-1022P,chr1,+,21987815
CELA3A,chr1,+,22001656
RN7SL186P,chr1,+,22010649
RNU6-776P,chr1,+,22010984
LINC01635,chr1,-,22026215
LINC00339,chr1,+,22024557
ENSG00000289694,chr1,+,22025141
